bot_question_id,cp_post_id,cp_question_id,title,resolution,cp_reveal_time,community_prediction,bot_team_median,pgodzinai,pro_median
28959,28972.0,28907.0,Will the Liberal Democratic Party win a majority of seats in the 2024 Japanese general election?,0,2024-10-23 14:30:00+00:00,0.6,0.5375,0.57,0.5
28960,28974.0,28909.0,Will the Botswana Democratic Party win the 2024 general election?,0,2024-10-23 14:30:00+00:00,0.55,0.685,0.67,0.75
29108,28854.0,28811.0,"Will any more United Kingdom MPs be suspended from their party, resign, or change allegiance before 2025?",1,2024-10-26 14:30:00+00:00,0.82,0.52,0.49,0.85
29109,28841.0,28801.0,Will Eric Adams be Mayor of New York City on the 1st of January 2025?,1,2024-10-26 14:30:00+00:00,0.75,0.6999999999999998,0.6999999999999998,0.81
29110,28657.0,28657.0,"Will China officially announce export restrictions on any additional metals before January 1, 2025?",1,2024-10-26 14:30:00+00:00,0.45,0.3,0.25,0.4
29111,28650.0,28650.0,"Will the US Steel/Nippon Steel merger collapse before January 1, 2025?",0,2024-10-26 14:30:00+00:00,0.6,0.6399999999999999,0.6399999999999999,0.63
29112,28658.0,28658.0,"Will the Russian government officially ban YouTube before January 1, 2025?",0,2024-10-26 14:30:00+00:00,0.18,0.31000000000000005,0.31000000000000005,0.12
29163,29140.0,29050.0,"Will the lowest COVID-19 hospitalization rate from October 5, 2024, to January 4, 2025, be below 2.0?",1,2024-10-29 14:30:00+00:00,0.31411009579259686,0.26,0.37,0.37
29348,29242.0,29145.0,[Short fuse] Will California's Proposition 33 (allowing rent control) pass in the 2024 general election?,0,2024-11-02 14:30:00+00:00,0.25,0.39,0.39,0.12
29349,29077.0,28997.0,"Will it rain more than 100mm in Brasília, Brazil in December 2024?",1,2024-11-02 14:30:00+00:00,0.9583453266740091,0.82625,0.88,0.952
29350,29077.0,28997.0,"Will it rain more than 150mm in Brasília, Brazil in December 2024?",1,2024-11-02 14:30:00+00:00,0.870125541541337,0.72,0.72,0.85
29351,29077.0,28997.0,"Will it rain more than 200mm in Brasília, Brazil in December 2024?",1,2024-11-02 14:30:00+00:00,0.7274736790938451,0.51,0.51,0.6
29353,29028.0,28953.0,Will the US State Department approve more than 20 arms sales globally in the fourth quarter of 2024?,1,2024-11-02 14:30:00+00:00,0.9611013007377774,0.575,0.67,0.995
29354,29028.0,28953.0,Will the US State Department approve more than 25 arms sales globally in the fourth quarter of 2024?,1,2024-11-02 14:30:00+00:00,0.8831983617655779,0.37,0.37,0.95
29355,28783.0,28771.0,Will there be a white Christmas in at least 4 of these 9 large European cities in 2024?,0,2024-11-02 14:30:00+00:00,0.15,0.22999999999999998,0.22999999999999998,0.10999999999999999
29414,29145.0,29055.0,"Will the XEC COVID-19 variant account for at least 50% of the variants monitored in the US before January 5, 2025?",0,2024-11-05 15:30:00+00:00,0.37,0.273,0.15999999999999992,0.32000000000000006
29461,29507.0,29365.0,"Will the weekly total number of influenza hospitalizations for the United States for the week of Nov 23, 2024 be more than 2,000?",1,2024-11-06 15:30:00+00:00,0.5399754435659441,0.58,0.58,0.66
29463,29141.0,29051.0,"Will the CDC report more than 80% of the tested influenza sequences as influenza A during the 2024-25 season through the week ending Dec 21, 2024?",1,2024-11-06 15:30:00+00:00,0.4480539957586608,0.7263,0.78,0.8599999999999999
29635,28834.0,28798.0,Will the 2024 World Chess Champion be decided in the first 10 games?,0,2024-11-09 15:30:00+00:00,0.1,0.18999999999999995,0.18999999999999995,0.07699999999999996
29642,29608.0,29480.0,"Will Elon Musk’s net worth be less than or equal to the highest other net worth on the Forbes Real-Time Billionaires list as of January 1, 2025?",0,2024-11-09 15:30:00+00:00,0.025423118381141845,0.18999999999999995,0.12,0.040000000000000036
29643,29608.0,29480.0,"Will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list by greater than zero and less than $40 billion as of January 1, 2025?",0,2024-11-09 15:30:00+00:00,0.17136511413304625,0.24,0.24,0.15000000000000002
29644,29608.0,29480.0,"Will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list by greater than or equal to $40 billion and less than or equal to $70 billion as of January 1, 2025?",0,2024-11-09 15:30:00+00:00,0.4568016904397837,0.3400000000000001,0.3400000000000001,0.35
29645,29608.0,29480.0,"Will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list by greater than $70 billion and less than $100 billion as of January 1, 2025?",0,2024-11-09 15:30:00+00:00,0.27419647031085126,0.19999999999999996,0.19999999999999996,0.30000000000000016
29646,29608.0,29480.0,"Will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list by greater than or equal to $100 billion as of January 1, 2025?",1,2024-11-09 15:30:00+00:00,0.07221360673517696,0.19999999999999996,0.1,0.15
29940,29900.0,29741.0,Will Bitcoin dominance exceed 63.0% on any single day in November or December 2024?,0,2024-11-16 15:30:00+00:00,0.43,0.30000000000000016,0.30000000000000016,0.4
29943,29903.0,29744.0,Will the International Criminal Court issue any warrants in November or December 2024?,1,2024-11-16 15:30:00+00:00,0.19,0.17999999999999997,0.17999999999999997,0.20999999999999996
29944,29902.0,29743.0,Will Astro Bot win the Game of the Year 2024 award?,1,2024-11-16 15:30:00+00:00,0.38,0.29000000000000004,0.29000000000000004,0.45
29945,29901.0,29742.0,"Will North Korea deploy military personnel to Ukraine before January 1, 2025?",0,2024-11-16 15:30:00+00:00,0.15,0.44999999999999996,0.44999999999999996,0.14000000000000012
30194,30297.0,30101.0,Will Nvidia have the largest market cap in the world at the end of 2024?,0,2024-11-23 15:30:00+00:00,0.75,0.56,0.030000000000000138,0.72
30196,30252.0,30060.0,"Will at least one of Andrea Bocelli's concerts at Madison Square Garden on December 18 or 19, 2024 sell out?",0,2024-11-23 15:30:00+00:00,0.65,0.54,0.36,0.75
30197,30295.0,30100.0,Will Bluesky reach 30 million users before 1 January 2025?,0,2024-11-23 15:30:00+00:00,0.7,0.742,0.81,0.44999999999999996
30435,30516.0,30300.0,"Will any more of Trump's announced Cabinet picks drop out before January 1, 2025?",0,2024-12-04 15:30:00+00:00,0.72,0.19999999999999996,0.19999999999999996,0.8
30440,30434.0,30235.0,"Will be Donald Trump's net favorability rating on December 27, 2024 be greater than -4?",1,2024-12-04 15:30:00+00:00,0.6187329492907317,0.20999999999999996,0.20999999999999996,0.75
30441,30434.0,30235.0,"Will be Donald Trump's net favorability rating on December 27, 2024 be greater than or equal to -6 and less than or equal to -4?",0,2024-12-04 15:30:00+00:00,0.2703026033342055,0.38,0.38,0.17999999999999994
30442,30434.0,30235.0,"Will be Donald Trump's net favorability rating on December 27, 2024 be less than -6?",0,2024-12-04 15:30:00+00:00,0.11096444737506272,0.4099999999999999,0.4099999999999999,0.07999999999999996
30576,30517.0,30301.0,"Will New Delhi experience a ""Hazardous"" air quality index for at least one third of the last two weeks of December 2024?",1,2024-12-07 15:30:00+00:00,0.5,0.30999999999999994,0.19999999999999996,0.6
30579,30477.0,30270.0,"Will Joe Biden sign 4 or more executive orders after Election Day and before January 1, 2025?",1,2024-12-07 15:30:00+00:00,0.25510245901639345,0.185,0.16000000000000003,0.1
30723,30809.0,30563.0,"Before Jan 1, 2025, will Ontario Premier Doug Ford call an early provincial election scheduled for 2025?",0,2024-12-12 15:30:00+00:00,0.79,0.06999999999999995,0.05999999999999994,0.040000000000000036
30787,30922.0,30654.0,"Will Blue Origin launch its New Glenn rocket before January 1, 2025?",0,2024-12-14 15:30:00+00:00,0.25,0.12500000000000006,0.14000000000000012,0.30000000000000016
30791,28860.0,28815.0,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be greater than 19 million, according to the TSA?",0,2024-12-14 15:30:00+00:00,0.0798111936708924,0.26499999999999996,0.12,0.09999999999999998
30792,28860.0,28815.0,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be greater than or equal to 18 million and less than or equal to 19 million, according to the TSA?",1,2024-12-14 15:30:00+00:00,0.2944184317995511,0.395,0.34,0.4
30793,28860.0,28815.0,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be greater than 17 million and less than 18 million, according to the TSA?",0,2024-12-14 15:30:00+00:00,0.4338699030478743,0.42999999999999994,0.4099999999999999,0.38
30794,28860.0,28815.0,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be less than or equal to 17 million, according to the TSA?",0,2024-12-14 15:30:00+00:00,0.19190047148168224,0.185,0.13,0.050000000000000044
